jop name,laocation,company name,experience,experience year,skills
Data Engineer,"Cairo, Egypt ",DXC.technology,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Computer Engineering', ' ∑ Engineering', ' ∑ Software Engineering', ' ∑ Software Development', ' ∑ SQL']"
Data Engineer-Data Integration,"Cairo, Egypt ",IBM WTC Egypt,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Engineering', ' ∑ SQL', ' ∑ Software Engineering', ' ∑ Computer Engineering', ' ∑ Software Development']"
Specialist Big Data Administrator - SWDC,"Cairo, Egypt ",Giza Arabia Systems,Not specified,None,"[' ∑ Human Resources', ' ∑ IT/Software Development', ' ∑ administration', ' ∑ microsoft office', ' ∑ business administration', ' ∑ information technology (it)', 'computer science', ' ∑ english', ' ∑ communication skills']"
Data Analysis Supervisor,"Mohandessin, Giza, Egypt ",Nahdet Misr Publishing Group,Experienced,6 - 8 Yrs of Exp,"[' ∑ Analyst/Research', ' ∑ Sales/Retail', ' ∑ Analysis', ' ∑ Administration', 'Data Analysis', ' ∑ Finance', ' ∑ business', ' ∑ Sales Analysis', ' ∑ Microsoft Excel', 'Data']"
Master Data Analyst,"Cairo, Egypt ",Johnson & Johnson,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'Data Analysis', ' ∑ Analysis', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Microsoft Office', ' ∑ SQL', ' ∑ Microsoft Excel']"
Programme Assistant (Data Analyst),"Cairo, Egypt ",World Food Program - Other locations,Not specified,None,"[' ∑ Engineering - Telecom/Technology', ' ∑ Education/Teaching', 'computer science', ' ∑ teaching', ' ∑ education', ' ∑ information technology (it)', ' ∑ design', ' ∑ english', ' ∑ management']"
Data Analysis Quality Internship - Alexandria,"Ameria, Alexandria, Egypt ",Prometeon Tyres Group ñ Egypt  (Ex-Pirelli Tyres Egypt),Entry Level,∑ Quality,"[' ∑ Analyst/Research', ' ∑ Analysis', ' ∑ Computer Engineering', 'Computer Science', 'Data Analysis', ' ∑ quality', ' ∑ SQL', 'Data']"
Data Analyst,"Doha, Qatar ",UrbaCon Contracting & Trading Company,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'Data Analysis', ' ∑ Analysis', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ SQL', ' ∑ Microsoft Office', ' ∑ Microsoft Excel']"
Data Engineer,"Maadi, Cairo, Egypt ",Erada,Experienced,2 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Engineering', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Software Development']"
Data Science Instructor,"Nasr City, Cairo, Egypt ",EpsilonAI,Experienced,1+ Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Training/Instructor', 'Data Science', 'Computer Science', ' ∑ Computer Engineering', ' ∑ Python', ' ∑ Machine Learning', ' ∑ Deep Learning', ' ∑ Artificial Intelligence (AI)']"
